Symptoms,Medications
"cough, weight loss, fatigue","albuterol, insulin"
weight loss,salmeterol
"weight loss, rash, chest pain","acetaminophen, simvastatin"
"muscle pain, loss of appetite, shortness of breath, body aches",metformin
anxiety,"fluticasone, simvastatin"
"vomiting, shortness of breath",omeprazole
cough,"acetaminophen, venlafaxine"
"nausea, anxiety, cough, joint pain",atorvastatin
shortness of breath,sertraline
loss of appetite,amoxicillin
"sore throat, allergic reaction, weight loss",diphenhydramine
"vomiting, back pain, headache",sertraline
muscle pain,"salmeterol, metformin"
"insomnia, sore throat, weight loss, swelling","cetirizine, venlafaxine"
"weight gain, chest pain, sore throat, headache",diphenhydramine
weight gain,albuterol
"itching, diarrhea","aspirin, azithromycin"
weight loss,sertraline
"fatigue, weight loss","metformin, fluticasone"
"insomnia, back pain, body aches",lisinopril
"swelling, insomnia, fever, sore throat",amoxicillin
shortness of breath,diphenhydramine
"rash, muscle pain","azithromycin, fluoxetine"
"sore throat, muscle pain, nausea, rash","escitalopram, fluticasone"
"weight loss, itching, fever",acetaminophen
"diarrhea, back pain","diphenhydramine, insulin"
nausea,insulin
"sore throat, itching, weight gain","cetirizine, escitalopram"
"fatigue, allergic reaction, muscle pain, diarrhea",azithromycin
diarrhea,azithromycin
"back pain, joint pain, chest pain",salmeterol
joint pain,sertraline
"sore throat, body aches, chest pain","amoxicillin, ranitidine"
"cough, swelling","ranitidine, sertraline"
"muscle pain, insomnia, weight gain, weight loss","albuterol, diphenhydramine"
"abdominal pain, weight loss",venlafaxine
chest pain,acetaminophen
"weight gain, runny nose, abdominal pain","atorvastatin, azithromycin"
"body aches, sore throat, muscle pain","venlafaxine, loratadine"
"rash, weight loss","ranitidine, fluticasone"
"vomiting, muscle pain","fluticasone, diphenhydramine"
"nausea, sore throat",azithromycin
"runny nose, cough, abdominal pain, insomnia","loratadine, azithromycin"
"vomiting, back pain, weight loss","salmeterol, fluticasone"
"cough, diarrhea, fever",diphenhydramine
"swelling, cough","venlafaxine, fluticasone"
cough,"escitalopram, loratadine"
joint pain,"salmeterol, albuterol"
"swelling, loss of appetite","escitalopram, insulin"
fatigue,salmeterol
"insomnia, depression, muscle pain",venlafaxine
"abdominal pain, joint pain","atorvastatin, metformin"
abdominal pain,fluticasone
allergic reaction,cetirizine
"weight loss, anxiety, loss of appetite, body aches",cetirizine
"back pain, headache","fluoxetine, loratadine"
"vomiting, chest pain, abdominal pain","lisinopril, loratadine"
itching,"salmeterol, simvastatin"
joint pain,ibuprofen
"insomnia, runny nose, headache","insulin, ibuprofen"
"fatigue, insomnia","loratadine, amoxicillin"
"vomiting, rash, sore throat, diarrhea","salmeterol, sertraline"
"chest pain, rash, anxiety",atorvastatin
"muscle pain, fatigue, back pain, itching","simvastatin, metformin"
"insomnia, loss of appetite, chest pain","salmeterol, aspirin"
"fever, abdominal pain, runny nose, headache",amoxicillin
"back pain, fatigue, insomnia, fever",metformin
shortness of breath,"venlafaxine, amoxicillin"
"itching, diarrhea","escitalopram, ibuprofen"
"weight gain, diarrhea, swelling","azithromycin, salmeterol"
"diarrhea, sore throat, depression, runny nose",atorvastatin
"depression, weight gain, chest pain",simvastatin
"sore throat, fatigue",albuterol
"itching, diarrhea, headache, weight loss","albuterol, sertraline"
"allergic reaction, swelling, diarrhea",acetaminophen
"shortness of breath, headache, chest pain",ibuprofen
"muscle pain, itching",fluticasone
back pain,atorvastatin
headache,salmeterol
headache,simvastatin
"nausea, fatigue",acetaminophen
"chest pain, rash, weight loss, headache",albuterol
"muscle pain, fatigue, headache",salmeterol
depression,cetirizine
"joint pain, cough, chest pain, allergic reaction","venlafaxine, cetirizine"
"nausea, shortness of breath, headache, weight loss","lisinopril, sertraline"
nausea,fluticasone
"rash, depression, sore throat, cough","acetaminophen, sertraline"
insomnia,"lisinopril, albuterol"
"cough, chest pain",salmeterol
"headache, weight gain, depression, back pain","atorvastatin, fluoxetine"
"allergic reaction, sore throat, headache","amoxicillin, venlafaxine"
"loss of appetite, chest pain, rash, vomiting","ibuprofen, metformin"
"itching, vomiting, sore throat","metformin, diphenhydramine"
"joint pain, itching, fever",diphenhydramine
"cough, itching, back pain","aspirin, albuterol"
"anxiety, joint pain","metformin, venlafaxine"
"weight loss, depression, diarrhea","albuterol, fluticasone"
"fatigue, loss of appetite, headache",insulin
abdominal pain,simvastatin
"diarrhea, loss of appetite","lisinopril, diphenhydramine"
"fever, back pain, shortness of breath",atorvastatin
"vomiting, fatigue","ibuprofen, lisinopril"
"cough, chest pain","venlafaxine, acetaminophen"
"depression, vomiting, joint pain, anxiety","azithromycin, escitalopram"
"loss of appetite, rash, weight loss","lisinopril, loratadine"
"chest pain, body aches","salmeterol, fluoxetine"
sore throat,"sertraline, simvastatin"
"fatigue, back pain",omeprazole
"itching, headache, diarrhea, cough","fluticasone, atorvastatin"
"sore throat, fever, insomnia","simvastatin, venlafaxine"
"diarrhea, rash","lisinopril, venlafaxine"
"body aches, insomnia, itching, diarrhea","venlafaxine, albuterol"
"insomnia, allergic reaction, headache",omeprazole
"sore throat, chest pain, insomnia","escitalopram, azithromycin"
"joint pain, shortness of breath, itching","sertraline, albuterol"
"insomnia, swelling, depression","albuterol, sertraline"
"cough, sore throat","lisinopril, diphenhydramine"
"diarrhea, nausea",venlafaxine
"fatigue, cough",venlafaxine
"insomnia, joint pain, vomiting, fatigue","fluticasone, amoxicillin"
weight gain,simvastatin
"cough, shortness of breath",albuterol
"abdominal pain, rash, fatigue, allergic reaction","amoxicillin, atorvastatin"
"fever, swelling",simvastatin
"loss of appetite, chest pain, swelling",escitalopram
"nausea, weight loss, depression, itching",acetaminophen
"insomnia, headache, weight loss",metformin
"fatigue, rash, swelling","fluoxetine, loratadine"
"cough, runny nose, nausea, vomiting","albuterol, atorvastatin"
"anxiety, nausea, swelling, body aches","insulin, diphenhydramine"
"sore throat, headache, cough",venlafaxine
chest pain,azithromycin
"depression, nausea",diphenhydramine
"nausea, sore throat, chest pain","atorvastatin, acetaminophen"
"abdominal pain, rash, fever","diphenhydramine, amoxicillin"
"anxiety, nausea, headache","salmeterol, azithromycin"
"allergic reaction, insomnia, rash",simvastatin
"swelling, diarrhea",sertraline
"muscle pain, diarrhea","diphenhydramine, fluoxetine"
"nausea, headache","azithromycin, salmeterol"
loss of appetite,atorvastatin
itching,aspirin
"fever, back pain, vomiting, cough","atorvastatin, loratadine"
anxiety,"sertraline, fluticasone"
"allergic reaction, fatigue, fever, loss of appetite","atorvastatin, loratadine"
joint pain,amoxicillin
fatigue,"sertraline, cetirizine"
"allergic reaction, anxiety, weight gain",salmeterol
"allergic reaction, itching",metformin
"sore throat, loss of appetite","fluticasone, venlafaxine"
"body aches, loss of appetite, weight loss, swelling","albuterol, omeprazole"
"body aches, swelling","ibuprofen, omeprazole"
"joint pain, sore throat",ranitidine
headache,"atorvastatin, ranitidine"
"chest pain, weight loss","aspirin, acetaminophen"
"anxiety, runny nose, loss of appetite","amoxicillin, metformin"
sore throat,"ibuprofen, loratadine"
"runny nose, weight loss, body aches",diphenhydramine
"itching, fever, back pain, depression",aspirin
"vomiting, abdominal pain, fatigue, depression","sertraline, albuterol"
"runny nose, vomiting, body aches, nausea","azithromycin, metformin"
"fatigue, weight loss",ranitidine
"itching, joint pain, runny nose","cetirizine, albuterol"
"anxiety, cough, abdominal pain, muscle pain","venlafaxine, ranitidine"
"cough, swelling",fluticasone
"insomnia, shortness of breath, joint pain, body aches",cetirizine
"fatigue, swelling",albuterol
"weight loss, joint pain, back pain","metformin, diphenhydramine"
"anxiety, fatigue","loratadine, fluoxetine"
runny nose,"diphenhydramine, aspirin"
"allergic reaction, headache","salmeterol, lisinopril"
sore throat,diphenhydramine
"joint pain, body aches","salmeterol, albuterol"
"weight gain, nausea, runny nose, depression","ibuprofen, diphenhydramine"
diarrhea,fluoxetine
"back pain, joint pain, fever, swelling",diphenhydramine
depression,"sertraline, albuterol"
"abdominal pain, body aches",albuterol
"muscle pain, body aches","fluticasone, insulin"
allergic reaction,aspirin
"shortness of breath, diarrhea","escitalopram, ibuprofen"
"runny nose, diarrhea",acetaminophen
"swelling, rash",venlafaxine
"loss of appetite, headache, back pain, joint pain",fluticasone
"back pain, cough",metformin
"muscle pain, nausea, loss of appetite, insomnia",escitalopram
"fever, cough","atorvastatin, acetaminophen"
"shortness of breath, joint pain, itching, muscle pain","ibuprofen, lisinopril"
"allergic reaction, fatigue, joint pain, cough","simvastatin, lisinopril"
"body aches, depression, vomiting",sertraline
"anxiety, nausea, shortness of breath, swelling",salmeterol
"headache, sore throat",venlafaxine
"swelling, rash, body aches","amoxicillin, fluticasone"
allergic reaction,metformin
"insomnia, back pain","diphenhydramine, ibuprofen"
"rash, fatigue, loss of appetite",omeprazole
"vomiting, joint pain, depression, allergic reaction","sertraline, ibuprofen"
"body aches, cough",aspirin
"body aches, vomiting",omeprazole
"cough, depression","aspirin, azithromycin"
"itching, headache, anxiety","insulin, amoxicillin"
"depression, body aches, rash, vomiting",metformin
diarrhea,"venlafaxine, albuterol"
"rash, nausea, allergic reaction","fluticasone, salmeterol"
itching,salmeterol
"diarrhea, rash, allergic reaction, chest pain",metformin
cough,ibuprofen
"diarrhea, chest pain, fever, depression","loratadine, venlafaxine"
"weight gain, joint pain, runny nose, fatigue",escitalopram
"weight gain, runny nose",fluticasone
"anxiety, body aches",metformin
"shortness of breath, nausea, chest pain, vomiting",lisinopril
"cough, depression","ibuprofen, cetirizine"
abdominal pain,"diphenhydramine, omeprazole"
fatigue,"diphenhydramine, cetirizine"
"swelling, fatigue",fluoxetine
"rash, sore throat, muscle pain","cetirizine, loratadine"
"back pain, insomnia, vomiting",sertraline
"chest pain, vomiting, loss of appetite, depression","simvastatin, aspirin"
"vomiting, weight gain, shortness of breath, body aches",escitalopram
joint pain,salmeterol
headache,"amoxicillin, escitalopram"
"nausea, swelling, vomiting",diphenhydramine
"insomnia, cough","cetirizine, ranitidine"
"cough, headache","ibuprofen, venlafaxine"
"runny nose, rash, allergic reaction",omeprazole
"insomnia, abdominal pain, cough, runny nose",loratadine
"weight gain, muscle pain, nausea","albuterol, cetirizine"
"chest pain, vomiting",ranitidine
"fever, chest pain",ranitidine
depression,"venlafaxine, atorvastatin"
diarrhea,"atorvastatin, metformin"
"shortness of breath, muscle pain, weight gain, body aches",sertraline
"headache, fever, nausea","escitalopram, acetaminophen"
"body aches, loss of appetite, anxiety",sertraline
weight gain,"lisinopril, azithromycin"
"nausea, chest pain, swelling, anxiety","cetirizine, fluoxetine"
"back pain, muscle pain",albuterol
"sore throat, back pain","ibuprofen, fluoxetine"
joint pain,metformin
cough,cetirizine
back pain,loratadine
"joint pain, fever",fluticasone
cough,"insulin, acetaminophen"
shortness of breath,"venlafaxine, escitalopram"
"depression, allergic reaction, rash, chest pain","cetirizine, amoxicillin"
"sore throat, fever, diarrhea, loss of appetite",salmeterol
"itching, fatigue, loss of appetite, rash","insulin, cetirizine"
"weight loss, rash","acetaminophen, metformin"
"weight loss, vomiting, depression, anxiety","salmeterol, albuterol"
"swelling, headache, rash","omeprazole, insulin"
"cough, weight loss, fatigue",insulin
"itching, headache, nausea, vomiting","venlafaxine, acetaminophen"
"runny nose, sore throat, depression","sertraline, simvastatin"
"fatigue, sore throat, fever",azithromycin
shortness of breath,"simvastatin, metformin"
shortness of breath,ranitidine
allergic reaction,"lisinopril, simvastatin"
"headache, shortness of breath",amoxicillin
weight gain,"insulin, amoxicillin"
"headache, allergic reaction, back pain",metformin
"swelling, headache","ranitidine, diphenhydramine"
"vomiting, swelling",azithromycin
"chest pain, loss of appetite",cetirizine
"anxiety, diarrhea, cough",lisinopril
"muscle pain, rash",acetaminophen
"insomnia, sore throat, joint pain, muscle pain","aspirin, atorvastatin"
"fatigue, anxiety, headache",simvastatin
"weight loss, sore throat, allergic reaction, insomnia","amoxicillin, metformin"
"insomnia, fatigue, chest pain, allergic reaction","venlafaxine, escitalopram"
cough,salmeterol
"headache, muscle pain, fatigue, body aches","loratadine, fluticasone"
"itching, rash, vomiting","metformin, insulin"
"nausea, chest pain, joint pain",acetaminophen
"anxiety, joint pain, vomiting",sertraline
"shortness of breath, runny nose, rash",azithromycin
"headache, vomiting, insomnia, runny nose",cetirizine
weight gain,venlafaxine
"joint pain, anxiety, insomnia, headache",atorvastatin
fever,"loratadine, simvastatin"
"swelling, insomnia, rash, weight loss",fluoxetine
"insomnia, abdominal pain, fever","azithromycin, ranitidine"
headache,salmeterol
"joint pain, weight gain",ranitidine
"joint pain, swelling, allergic reaction, weight gain","escitalopram, sertraline"
"weight gain, nausea, shortness of breath",escitalopram
cough,"insulin, fluticasone"
shortness of breath,"metformin, omeprazole"
"loss of appetite, sore throat, vomiting","metformin, atorvastatin"
insomnia,sertraline
"abdominal pain, fatigue, allergic reaction","sertraline, loratadine"
nausea,"fluoxetine, salmeterol"
"back pain, muscle pain, depression","acetaminophen, ranitidine"
"fatigue, chest pain",atorvastatin
"cough, fatigue","loratadine, fluticasone"
"sore throat, joint pain, depression",azithromycin
"fever, vomiting, shortness of breath",metformin
"shortness of breath, insomnia, nausea","lisinopril, ibuprofen"
"cough, depression, body aches",acetaminophen
"weight loss, swelling",albuterol
"nausea, joint pain, itching, sore throat",azithromycin
"chest pain, shortness of breath, itching, fever","omeprazole, fluoxetine"
"allergic reaction, rash, shortness of breath, fatigue",fluoxetine
back pain,"simvastatin, ibuprofen"
"chest pain, joint pain, swelling, vomiting","cetirizine, omeprazole"
"joint pain, chest pain, weight loss",fluticasone
"anxiety, chest pain, back pain, abdominal pain",escitalopram
"joint pain, abdominal pain, depression","ranitidine, atorvastatin"
"vomiting, fatigue, abdominal pain",acetaminophen
"runny nose, fatigue, depression, nausea",diphenhydramine
"anxiety, fatigue, vomiting","salmeterol, escitalopram"
"nausea, shortness of breath",insulin
"depression, chest pain, weight gain, swelling","metformin, escitalopram"
"headache, insomnia",diphenhydramine
depression,insulin
"nausea, weight loss, cough, back pain","albuterol, salmeterol"
allergic reaction,venlafaxine
"headache, itching, weight gain",ibuprofen
"weight gain, back pain","salmeterol, metformin"
"nausea, sore throat",escitalopram
"cough, itching, allergic reaction, muscle pain",salmeterol
"body aches, swelling, abdominal pain","metformin, cetirizine"
insomnia,escitalopram
"diarrhea, swelling, sore throat","lisinopril, salmeterol"
weight loss,"omeprazole, salmeterol"
depression,"insulin, azithromycin"
"itching, allergic reaction","ranitidine, venlafaxine"
"rash, swelling, body aches, nausea","escitalopram, sertraline"
allergic reaction,"lisinopril, ibuprofen"
"swelling, shortness of breath, sore throat, cough",escitalopram
"rash, back pain, depression, abdominal pain",ranitidine
"allergic reaction, nausea, headache, fever","atorvastatin, acetaminophen"
"weight gain, nausea",albuterol
"joint pain, runny nose","fluoxetine, loratadine"
headache,azithromycin
"weight gain, allergic reaction, headache, joint pain",ibuprofen
"insomnia, joint pain, chest pain",insulin
"headache, joint pain","lisinopril, azithromycin"
"chest pain, rash",loratadine
"itching, rash, insomnia",azithromycin
"sore throat, fatigue, anxiety","cetirizine, salmeterol"
"weight gain, abdominal pain, diarrhea, sore throat","albuterol, lisinopril"
"muscle pain, depression, cough, diarrhea","diphenhydramine, ranitidine"
"headache, loss of appetite",simvastatin
"swelling, sore throat, anxiety, depression","atorvastatin, fluticasone"
"back pain, weight loss",omeprazole
"joint pain, rash","ranitidine, salmeterol"
loss of appetite,"aspirin, sertraline"
"weight loss, joint pain, cough","acetaminophen, albuterol"
"swelling, fatigue","metformin, escitalopram"
"nausea, loss of appetite, insomnia","ibuprofen, venlafaxine"
"diarrhea, insomnia","sertraline, amoxicillin"
"vomiting, weight loss, depression","amoxicillin, insulin"
"diarrhea, cough","azithromycin, salmeterol"
"shortness of breath, loss of appetite, itching, weight gain","atorvastatin, acetaminophen"
vomiting,"venlafaxine, loratadine"
"rash, back pain, headache, insomnia","loratadine, ibuprofen"
abdominal pain,"salmeterol, cetirizine"
"muscle pain, headache, insomnia","cetirizine, acetaminophen"
vomiting,"salmeterol, simvastatin"
"allergic reaction, fever, loss of appetite, abdominal pain",atorvastatin
swelling,"albuterol, salmeterol"
"anxiety, sore throat, shortness of breath","ranitidine, metformin"
"weight gain, fatigue, loss of appetite, fever",cetirizine
"loss of appetite, cough, chest pain, diarrhea","ibuprofen, insulin"
allergic reaction,"azithromycin, insulin"
"fatigue, fever, joint pain, weight gain",lisinopril
"joint pain, runny nose, muscle pain","simvastatin, fluoxetine"
weight loss,"amoxicillin, loratadine"
"shortness of breath, weight gain, sore throat","albuterol, fluticasone"
"loss of appetite, sore throat",azithromycin
"nausea, headache, diarrhea","amoxicillin, simvastatin"
"insomnia, headache","fluticasone, atorvastatin"
"rash, allergic reaction, fatigue, back pain",venlafaxine
anxiety,"cetirizine, insulin"
"runny nose, shortness of breath","cetirizine, amoxicillin"
"headache, loss of appetite, weight loss",salmeterol
"headache, cough, depression, abdominal pain","ranitidine, fluticasone"
abdominal pain,"omeprazole, venlafaxine"
chest pain,"amoxicillin, fluticasone"
weight loss,"albuterol, lisinopril"
"depression, sore throat, allergic reaction, back pain",metformin
"back pain, rash",ranitidine
"itching, chest pain",fluticasone
back pain,ranitidine
"insomnia, muscle pain, allergic reaction, back pain","diphenhydramine, loratadine"
"headache, allergic reaction, loss of appetite, weight gain",amoxicillin
"loss of appetite, sore throat, muscle pain",insulin
"back pain, anxiety, diarrhea, joint pain",aspirin
"weight gain, cough",salmeterol
"vomiting, shortness of breath, rash","escitalopram, sertraline"
rash,"diphenhydramine, fluticasone"
itching,"aspirin, sertraline"
"weight gain, fever, diarrhea",diphenhydramine
"allergic reaction, nausea, cough",loratadine
"sore throat, fatigue, shortness of breath","lisinopril, albuterol"
"depression, sore throat, itching, vomiting","ibuprofen, fluoxetine"
"cough, weight loss, abdominal pain",ibuprofen
cough,metformin
"joint pain, cough, itching",salmeterol
weight gain,"sertraline, albuterol"
shortness of breath,aspirin
"depression, cough, diarrhea, rash",diphenhydramine
rash,acetaminophen
"runny nose, headache","salmeterol, lisinopril"
"weight gain, runny nose","aspirin, diphenhydramine"
"swelling, itching, headache",cetirizine
"itching, joint pain, muscle pain, allergic reaction",sertraline
"chest pain, nausea, allergic reaction",fluticasone
"depression, anxiety, weight loss","diphenhydramine, salmeterol"
"headache, abdominal pain","cetirizine, lisinopril"
diarrhea,"albuterol, fluticasone"
"weight loss, fever, joint pain",lisinopril
"muscle pain, vomiting, weight gain","lisinopril, fluoxetine"
"swelling, depression, fever","diphenhydramine, azithromycin"
"itching, headache, fever",escitalopram
"back pain, weight gain","salmeterol, aspirin"
"body aches, muscle pain, joint pain, shortness of breath",metformin
"shortness of breath, swelling, weight loss",loratadine
weight loss,azithromycin
"fatigue, anxiety",simvastatin
"depression, abdominal pain, body aches, vomiting","azithromycin, atorvastatin"
joint pain,loratadine
"chest pain, shortness of breath, swelling, back pain",escitalopram
depression,insulin
"cough, vomiting",lisinopril
joint pain,metformin
"fever, joint pain, headache",omeprazole
back pain,"aspirin, loratadine"
headache,"sertraline, aspirin"
"weight gain, loss of appetite, shortness of breath","fluoxetine, azithromycin"
"body aches, back pain, abdominal pain",lisinopril
"diarrhea, fatigue, chest pain, nausea","simvastatin, salmeterol"
"headache, abdominal pain, vomiting","lisinopril, albuterol"
"shortness of breath, headache","fluticasone, lisinopril"
"loss of appetite, vomiting",ibuprofen
"muscle pain, vomiting, weight loss, back pain","escitalopram, albuterol"
cough,"azithromycin, ranitidine"
"loss of appetite, shortness of breath, fever","sertraline, fluoxetine"
"vomiting, joint pain","escitalopram, cetirizine"
"fatigue, fever, back pain, loss of appetite","albuterol, insulin"
joint pain,"aspirin, simvastatin"
"insomnia, headache, nausea, fever",fluoxetine
anxiety,insulin
nausea,atorvastatin
"fever, weight loss, body aches",acetaminophen
chest pain,"salmeterol, albuterol"
joint pain,metformin
"body aches, loss of appetite, sore throat, depression","metformin, loratadine"
"sore throat, cough, diarrhea, nausea",salmeterol
joint pain,escitalopram
"itching, body aches, depression, joint pain","diphenhydramine, acetaminophen"
sore throat,venlafaxine
"chest pain, sore throat, swelling",ranitidine
"allergic reaction, fatigue","sertraline, atorvastatin"
"chest pain, cough, depression","amoxicillin, insulin"
"cough, fatigue, diarrhea, body aches",metformin
back pain,"simvastatin, ranitidine"
"sore throat, weight loss","lisinopril, ibuprofen"
"muscle pain, fever, diarrhea","sertraline, salmeterol"
"sore throat, weight gain, fever","omeprazole, fluoxetine"
"fatigue, vomiting, abdominal pain",atorvastatin
"vomiting, body aches",metformin
"allergic reaction, cough, depression","omeprazole, azithromycin"
"body aches, allergic reaction","simvastatin, albuterol"
"body aches, diarrhea, insomnia, abdominal pain","ibuprofen, omeprazole"
"loss of appetite, fever, itching, weight gain",diphenhydramine
"cough, fatigue, body aches, chest pain",venlafaxine
"weight gain, cough, depression, weight loss","lisinopril, cetirizine"
"sore throat, muscle pain, depression, abdominal pain",simvastatin
"shortness of breath, loss of appetite, muscle pain","atorvastatin, insulin"
"depression, swelling, fatigue","acetaminophen, venlafaxine"
"allergic reaction, fever","salmeterol, albuterol"
"back pain, vomiting, chest pain",amoxicillin
"runny nose, headache","fluoxetine, loratadine"
"swelling, loss of appetite, depression",omeprazole
weight gain,"fluoxetine, cetirizine"
"body aches, abdominal pain",insulin
abdominal pain,"fluoxetine, ibuprofen"
chest pain,azithromycin
"itching, allergic reaction, runny nose, swelling","omeprazole, ranitidine"
"diarrhea, back pain, nausea, sore throat","ranitidine, fluoxetine"
"allergic reaction, diarrhea, headache","simvastatin, amoxicillin"
"swelling, rash, runny nose","salmeterol, diphenhydramine"
"runny nose, joint pain",escitalopram
"rash, abdominal pain","venlafaxine, aspirin"
"runny nose, cough, body aches, headache","acetaminophen, fluoxetine"
sore throat,amoxicillin
"fatigue, fever","lisinopril, omeprazole"
nausea,aspirin
"sore throat, insomnia","loratadine, cetirizine"
nausea,omeprazole
"itching, rash","azithromycin, escitalopram"
"body aches, weight loss, abdominal pain, weight gain",salmeterol
"depression, abdominal pain, nausea",amoxicillin
rash,acetaminophen
"depression, itching, joint pain, chest pain",loratadine
depression,"ibuprofen, cetirizine"
